Date,Close,Open,High,Low,Change
1993-09-24,139.77,139.42,139.77,139.42,0.0
1993-09-27,139.76,139.4,139.76,139.4,-0.0001
1993-09-28,139.99,139.62,139.99,139.62,0.0016
1993-09-29,139.99,139.62,139.99,139.62,0.0
1993-09-30,139.99,139.62,139.99,139.62,0.0
1993-10-01,139.99,139.62,139.99,139.62,0.0
1993-10-04,140.5,140.14,140.5,140.14,0.0036
1993-10-05,140.46,140.02,140.46,140.02,-0.0003
1993-10-06,140.25,139.88,140.25,139.88,-0.0015
1993-10-07,140.11,139.71,140.11,139.71,-0.001
1993-10-08,140.33,139.97,140.33,139.97,0.0016
1993-10-11,140.25,139.88,140.25,139.88,-0.0006
1993-10-12,140.08,139.71,140.08,139.71,-0.0012
1993-10-13,140.05,139.69,140.05,139.69,-0.0002
1993-10-14,140.12,139.73,140.12,139.73,0.0005
1993-10-15,139.97,139.61,139.97,139.61,-0.0011
1993-10-18,139.87,139.5,139.87,139.5,-0.0007000000000000001
1993-10-19,139.87,139.5,139.87,139.5,0.0
1993-10-20,139.83,139.47,139.83,139.47,-0.0003
1993-11-18,138.91,138.55,138.91,138.55,-0.0066
1993-12-15,139.5,139.14,139.5,139.14,0.0042
1993-12-16,139.44,139.08,139.44,139.08,-0.0004
1993-12-17,139.52,139.17,139.52,139.17,0.0006
1993-12-20,139.72,139.34,139.72,139.34,0.0014000000000000002
1993-12-21,139.63,139.26,139.63,139.26,-0.0006
1993-12-22,139.4,139.0,139.4,139.0,-0.0016
1993-12-23,139.09,138.74,139.09,138.74,-0.0022
1993-12-24,139.02,138.66,139.02,138.66,-0.0005
1993-12-27,139.08,138.72,139.08,138.72,0.0004
1993-12-28,139.12,138.76,139.12,138.76,0.0003
1993-12-29,139.37,139.0,139.37,139.0,0.0018
1993-12-30,139.24,138.88,139.24,138.88,-0.0009
1993-12-31,139.17,138.81,139.17,138.81,-0.0005
1994-01-04,93.13,92.87,93.13,92.87,-0.3308
1994-01-05,93.38,93.11,93.38,93.11,0.0027
1994-01-06,93.48,93.24,93.48,93.24,0.0011
1994-01-10,93.28,93.04,93.28,93.04,-0.0021
1994-01-11,93.25,93.0,93.25,93.0,-0.0003
1994-01-12,93.22,92.96,93.22,92.96,-0.0003
1994-01-13,93.22,92.97,93.22,92.97,0.0
1994-01-25,92.89,92.65,92.89,92.65,-0.0034999999999999996
1994-01-26,92.94,92.7,92.94,92.7,0.0005
1994-01-27,92.89,92.65,92.89,92.65,-0.0005
1994-01-28,92.89,92.64,92.89,92.64,0.0
1994-01-31,92.88,92.64,92.88,92.64,-0.0001
1994-02-01,92.86,92.63,92.86,92.63,-0.0002
1994-02-02,92.82,92.58,92.82,92.58,-0.0004
1994-02-03,92.78,92.55,92.78,92.55,-0.0004
1994-02-07,93.01,92.76,93.01,92.76,0.0025
1994-02-08,93.14,92.91,93.14,92.91,0.0014000000000000002
1994-02-09,93.14,92.91,93.14,92.91,0.0
1994-02-10,93.14,92.91,93.14,92.91,0.0
1994-02-16,93.14,92.89,93.14,92.89,0.0
1994-02-17,93.05,92.81,93.05,92.81,-0.001
1994-02-21,93.02,92.77,93.02,92.77,-0.0003
1994-02-22,92.95,92.71,92.95,92.71,-0.0008
1994-02-23,92.94,92.7,92.94,92.7,-0.0001
1994-02-24,92.86,92.62,92.86,92.62,-0.0009
1994-02-25,93.06,92.79,93.06,92.79,0.0022
1994-03-01,92.83,92.6,92.83,92.6,-0.0025
1994-03-02,92.66,92.42,92.66,92.42,-0.0018
1994-03-03,92.68,92.42,92.68,92.42,0.0002
1994-03-07,92.8,92.51,92.8,92.51,0.0013
1994-03-08,92.85,92.59,92.85,92.59,0.0005
1994-03-09,92.87,92.62,92.87,92.62,0.0002
1994-03-10,92.75,92.47,92.75,92.47,-0.0013
1994-03-14,92.69,92.45,92.69,92.45,-0.0006
1994-03-15,92.67,92.41,92.67,92.41,-0.0002
1994-03-16,92.67,92.43,92.67,92.43,0.0
1994-03-17,92.72,92.47,92.72,92.47,0.0005
1994-03-21,92.81,92.57,92.81,92.57,0.001
1994-03-22,92.93,92.64,92.93,92.64,0.0013
1994-03-23,92.88,92.64,92.88,92.64,-0.0005
1994-03-24,92.82,92.58,92.82,92.58,-0.0006
1994-03-28,92.87,92.62,92.87,92.62,0.0005
1994-03-29,92.7,92.46,92.7,92.46,-0.0018
1994-03-30,92.77,92.53,92.77,92.53,0.0008
1994-03-31,92.69,92.45,92.69,92.45,-0.0009
1994-04-01,92.83,92.59,92.83,92.59,0.0015
